# n=36, modulus d=4, coefficients d=6
# Frobenius number = 2073586, Frobenius root = 275, Apery max = 2075009
coefficients = [1423, 100003, 125003, 150001, 175003, 200003, 225001, 250007, 275003, 300007, 
                325001, 350003, 375001, 400009, 425003, 450001, 475001, 500009, 525001, 550001, 
                575003, 600001, 625001, 650003, 675001, 700001, 725003, 750001, 775001, 800009, 
                825001, 850009, 875003, 900001, 925001, 950009]


Residues, Apery set, Zeros
263, 975018, 973595
264, 975019, 973596
265, 975020, 973597
266, 975021, 973598
267, 975022, 973599
268, 975023, 973600
269, 975024, 973601
270, 975025, 973602
271, 975026, 973603
272, 975027, 973604
273, 975028, 973605
274, 2075008, 2073585
275, 2075009, 2073586
276, 800002, 798579
277, 800003, 798580
278, 800004, 798581
279, 800005, 798582
280, 800006, 798583
281, 800007, 798584
282, 800008, 798585
283, 800009, 798586
284, 800010, 798587
285, 800011, 798588
286, 800012, 798589
287, 800013, 798590
288, 800014, 798591
289, 800015, 798592
290, 800016, 798593
291, 800017, 798594
292, 800018, 798595
293, 800019, 798596
294, 800020, 798597
295, 800021, 798598
296, 800022, 798599
297, 800023, 798600
298, 800024, 798601
299, 1900004, 1898581
300, 1900005, 1898582
301, 1900006, 1898583
302, 1900007, 1898584
303, 1900008, 1898585
304, 625001, 623578
305, 625002, 623579
306, 625003, 623580
307, 625004, 623581
308, 625005, 623582
309, 625006, 623583
310, 625007, 623584
311, 625008, 623585
312, 625009, 623586
313, 625010, 623587
314, 625011, 623588
315, 625012, 623589
316, 625013, 623590
317, 625014, 623591
318, 625015, 623592
319, 625016, 623593
320, 625017, 623594
321, 625018, 623595
322, 1900027, 1898604
323, 1900028, 1898605
324, 1900029, 1898606
325, 1900030, 1898607
326, 1725002, 1723579
327, 1725003, 1723580
328, 1725004, 1723581
329, 1725005, 1723582
330, 1725006, 1723583
331, 1725007, 1723584
332, 1725008, 1723585
333, 450001, 448578
334, 450002, 448579
335, 450003, 448580
336, 450004, 448581
337, 1725013, 1723590
338, 450006, 448583
339, 450007, 448584
340, 450008, 448585
341, 450009, 448586
342, 450010, 448587
343, 1725019, 1723596
344, 450012, 448589
345, 450013, 448590
346, 1725022, 1723599
347, 1725023, 1723600
348, 1725024, 1723601
349, 1725025, 1723602
350, 1725026, 1723603
351, 1725027, 1723604
352, 1725028, 1723605
353, 1725029, 1723606
354, 1725030, 1723607
355, 1550002, 1548579
356, 1550003, 1548580
357, 1550004, 1548581
358, 1550005, 1548582
359, 1550006, 1548583
360, 1550007, 1548584
361, 1550008, 1548585
362, 1550009, 1548586
363, 1550010, 1548587
364, 275003, 273580
365, 275004, 273581
366, 1550013, 1548590
