# n=64, modulus d=4, coefficients d=5
# Frobenius number = 693326, Frobenius root = 530, Apery max = 697767
coefficients = [4441, 99989, 99983, 99971, 99961, 99929, 99923, 99907, 99901, 99881, 
                99877, 99859, 99847, 99839, 99829, 99823, 99817, 99809, 99787, 99767, 
                99761, 99733, 99721, 99719, 99709, 99707, 99689, 99679, 99667, 99661, 
                99643, 99623, 99611, 99607, 99599, 99581, 99577, 99571, 99563, 99559, 
                99557, 99533, 99529, 99527, 99503, 99497, 99487, 99469, 99461, 99457, 
                99439, 99437, 99431, 99427, 99409, 99403, 99401, 99397, 99377, 99371, 
                99367, 99349, 99347, 99341]


Residues, Apery set, Zeros
0, 0, 0
1, 199846, 195405
2, 399692, 395251
3, 199848, 195407
4, 399694, 395253
5, 497397, 492956
6, 399696, 395255
7, 199852, 195411
8, 399698, 395257
9, 497401, 492960
10, 399700, 395259
11, 497403, 492962
12, 399702, 395261
13, 199858, 195417
14, 399704, 395263
15, 199860, 195419
16, 399706, 395265
17, 199862, 195421
18, 399708, 395267
19, 199864, 195423
20, 399710, 395269
21, 199866, 195425
22, 399712, 395271
23, 199868, 195427
24, 399714, 395273
25, 199870, 195429
26, 399716, 395275
27, 199872, 195431
28, 399718, 395277
29, 497421, 492980
30, 399720, 395279
31, 497423, 492982
32, 399722, 395281
33, 199878, 195437
34, 399724, 395283
35, 497427, 492986
36, 399726, 395285
37, 497429, 492988
38, 399728, 395287
39, 199884, 195443
40, 399730, 395289
41, 497433, 492992
42, 399732, 395291
43, 497435, 492994
44, 399734, 395293
45, 199890, 195449
46, 399736, 395295
47, 497439, 492998
48, 399738, 395297
49, 199894, 195453
50, 399740, 395299
51, 199896, 195455
52, 399742, 395301
53, 497445, 493004
54, 399744, 395303
55, 199900, 195459
56, 399746, 395305
57, 497449, 493008
58, 399748, 395307
59, 497451, 493010
60, 399750, 395309
61, 199906, 195465
62, 399752, 395311
63, 497455, 493014
64, 399754, 395313
65, 497457, 493016
66, 399756, 395315
67, 199912, 195471
68, 399758, 395317
69, 497461, 493020
70, 399760, 395319
71, 497463, 493022
72, 399762, 395321
73, 199918, 195477
74, 399764, 395323
75, 497467, 493026
76, 399766, 395325
77, 199922, 195481
78, 399768, 395327
79, 497471, 493030
80, 399770, 395329
81, 497473, 493032
82, 399772, 395331
83, 497475, 493034
84, 399774, 395333
85, 497477, 493036
86, 399776, 395335
87, 199932, 195491
88, 399778, 395337
89, 497481, 493040
90, 399780, 395339
91, 497483, 493042
92, 399782, 395341
93, 497485, 493044
94, 399784, 395343
95, 497487, 493046
96, 399786, 395345
97, 199942, 195501
98, 399788, 395347
99, 199944, 195503
100, 399790, 395349
101, 497493, 493052
102, 399792, 395351
103, 497495, 493054
104, 399794, 395353
105, 199950, 195509
106, 399796, 395355
107, 497499, 493058
108, 399798, 395357
109, 199954, 195513
110, 399800, 395359
111, 497503, 493062
112, 399802, 395361
113, 497505, 493064
114, 399804, 395363
115, 199960, 195519
116, 399806, 395365
117, 497509, 493068
118, 399808, 395367
119, 497511, 493070
120, 399810, 395369
121, 199966, 195525
122, 399812, 395371
123, 497515, 493074
124, 399814, 395373
125, 497517, 493076
126, 399816, 395375
127, 199972, 195531
128, 399818, 395377
129, 497521, 493080
130, 399820, 395379
131, 497523, 493082
132, 399822, 395381
133, 199978, 195537
134, 399824, 395383
135, 497527, 493086
136, 399826, 395385
137, 497529, 493088
138, 399828, 395387
139, 497531, 493090
140, 399830, 395389
141, 497533, 493092
142, 399832, 395391
143, 497535, 493094
144, 399834, 395393
145, 497537, 493096
146, 399836, 395395
147, 497539, 493098
148, 399838, 395397
149, 497541, 493100
150, 399840, 395399
