# n=64, modulus d=5, coefficients d=6
# Frobenius number = 14680015, Frobenius root = 9753, Apery max = 14690022
coefficients = [10007, 100003, 110009, 120007, 130003, 140003, 150001, 160001, 170003, 180001, 
                190001, 200003, 210001, 220001, 230003, 240001, 250007, 260003, 270001, 280001, 
                290003, 300001, 310001, 320003, 330001, 340001, 350003, 360001, 370001, 380003, 
                390001, 400009, 410003, 420001, 430001, 440003, 450001, 460001, 470003, 480001, 
                490001, 500009, 510001, 520001, 530003, 540001, 550001, 560003, 570001, 580001, 
                590003, 600001, 610001, 620003, 630001, 640001, 650003, 660001, 670001, 680003, 
                690001, 700001, 800009, 900001]


Residues, Apery set, Zeros
238, 13980017, 13970010
239, 13980018, 13970011
240, 13980019, 13970012
241, 13980020, 13970013
242, 13980021, 13970014
243, 13980022, 13970015
244, 13970016, 13960009
245, 13970017, 13960010
246, 13970018, 13960011
247, 13970019, 13960012
248, 13970020, 13960013
249, 13970021, 13960014
250, 13970022, 13960015
251, 13960016, 13950009
252, 13960017, 13950010
253, 13960018, 13950011
254, 13960019, 13950012
255, 13960020, 13950013
256, 13960021, 13950014
257, 13960022, 13950015
258, 13950016, 13940009
259, 13950017, 13940010
260, 13950018, 13940011
261, 13950019, 13940012
262, 13950020, 13940013
263, 13950021, 13940014
264, 13950022, 13940015
265, 13940016, 13930009
266, 13940017, 13930010
267, 13940018, 13930011
268, 13940019, 13930012
269, 13940020, 13930013
270, 13940021, 13930014
271, 13940022, 13930015
272, 13930016, 13920009
273, 13930017, 13920010
274, 13930018, 13920011
275, 13930019, 13920012
276, 13930020, 13920013
277, 13930021, 13920014
278, 13930022, 13920015
279, 13920016, 13910009
280, 13920017, 13910010
281, 13920018, 13910011
282, 13920019, 13910012
283, 13920020, 13910013
284, 13920021, 13910014
285, 13920022, 13910015
286, 13910016, 13900009
287, 13910017, 13900010
288, 13910018, 13900011
289, 13910019, 13900012
290, 13910020, 13900013
291, 13910021, 13900014
292, 13910022, 13900015
293, 13900016, 13890009
294, 13900017, 13890010
295, 13900018, 13890011
296, 13900019, 13890012
297, 13900020, 13890013
298, 13900021, 13890014
299, 13900022, 13890015
300, 13890016, 13880009
301, 13890017, 13880010
302, 13890018, 13880011
303, 13890019, 13880012
304, 13890020, 13880013
305, 13890021, 13880014
306, 13890022, 13880015
307, 13880016, 13870009
308, 13880017, 13870010
309, 13880018, 13870011
310, 13880019, 13870012
311, 13880020, 13870013
312, 13880021, 13870014
313, 13880022, 13870015
314, 13870016, 13860009
315, 13870017, 13860010
316, 13870018, 13860011
317, 13870019, 13860012
318, 13870020, 13860013
319, 13870021, 13860014
320, 13870022, 13860015
321, 13860016, 13850009
322, 13860017, 13850010
323, 13860018, 13850011
324, 13860019, 13850012
325, 13860020, 13850013
326, 13860021, 13850014
327, 13860022, 13850015
328, 13850016, 13840009
329, 13850017, 13840010
330, 13850018, 13840011
331, 13850019, 13840012
332, 13850020, 13840013
333, 13850021, 13840014
334, 13850022, 13840015
335, 13840016, 13830009
336, 13840017, 13830010
337, 13840018, 13830011
338, 13840019, 13830012
339, 13840020, 13830013
340, 13840021, 13830014
341, 13840022, 13830015
342, 13830016, 13820009
343, 13830017, 13820010
344, 13830018, 13820011
345, 13830019, 13820012
346, 13830020, 13820013
347, 13830021, 13820014
348, 13830022, 13820015
349, 13820016, 13810009
350, 13820017, 13810010
351, 13820018, 13810011
352, 13820019, 13810012
353, 13820020, 13810013
354, 13820021, 13810014
355, 13820022, 13810015
356, 13810016, 13800009
357, 13810017, 13800010
358, 13810018, 13800011
359, 13810019, 13800012
360, 13810020, 13800013
361, 13810021, 13800014
362, 13810022, 13800015
363, 13800016, 13790009
364, 13800017, 13790010
365, 13800018, 13790011
366, 13800019, 13790012
367, 13800020, 13790013
368, 13800021, 13790014
369, 13800022, 13790015
370, 13790016, 13780009
371, 13790017, 13780010
372, 13790018, 13780011
373, 13790019, 13780012
374, 13790020, 13780013
375, 13790021, 13780014
376, 13790022, 13780015
377, 13780016, 13770009
378, 13780017, 13770010
379, 13780018, 13770011
380, 13780019, 13770012
381, 13780020, 13770013
382, 13780021, 13770014
383, 13780022, 13770015
384, 13770016, 13760009
385, 13770017, 13760010
386, 13770018, 13760011
387, 13770019, 13760012
388, 13770020, 13760013
389, 13770021, 13760014
390, 13770022, 13760015
391, 13760016, 13750009
392, 13760017, 13750010
393, 13760018, 13750011
394, 13760019, 13750012
395, 13760020, 13750013
396, 13760021, 13750014
397, 13760022, 13750015
398, 13750016, 13740009
399, 13750017, 13740010
400, 13750018, 13740011
401, 13750019, 13740012
402, 13750020, 13740013
403, 13750021, 13740014
404, 13750022, 13740015
405, 13740016, 13730009
406, 13740017, 13730010
407, 13740018, 13730011
408, 13740019, 13730012
409, 13740020, 13730013
410, 13740021, 13730014
411, 13740022, 13730015
412, 13730016, 13720009
413, 13730017, 13720010
414, 13730018, 13720011
415, 13730019, 13720012
416, 13730020, 13720013
