# n=20, modulus d=3, coefficients d=6
# Frobenius number = 1179256, Frobenius root = 802, Apery max = 1180253
coefficients = [997, 100003, 123456, 135791, 159243, 200000, 222222, 250001, 300007, 333333, 350001, 400004, 444444, 500001, 555555, 600002, 666666, 700001, 777777, 800008]


Residues, Apery set, Zeros
303, 100003, 99006
304, 571585, 570588
305, 758025, 757028
306, 835792, 834795
307, 835793, 834796
308, 571589, 570592
309, 493824, 492827
310, 571591, 570594
311, 939485, 938488
312, 835798, 834801
313, 796916, 795919
314, 835800, 834803
315, 753050, 752053
316, 753051, 752054
317, 796920, 795923
318, 835804, 834807
319, 545678, 544681
320, 566616, 565619
321, 939495, 938498
322, 835808, 834811
323, 359243, 358246
324, 830825, 829828
325, 545684, 544687
326, 835812, 834815
327, 1038204, 1037207
328, 791946, 790949
329, 359249, 358252
330, 359250, 358253
331, 830832, 829835
332, 623457, 622460
333, 623458, 622461
334, 540708, 539711
335, 333333, 332336
336, 753071, 752074
337, 830838, 829841
338, 623463, 622466
339, 1056162, 1055165
340, 623465, 622468
341, 991359, 990362
342, 804921, 803924
343, 843805, 842808
344, 623469, 622472
345, 804924, 803927
346, 623471, 622474
347, 825863, 824866
348, 1030249, 1029252
349, 618489, 617492
350, 618490, 617493
351, 657374, 656377
352, 804931, 803934
353, 618493, 617496
354, 450001, 449004
355, 618495, 617498
356, 618496, 617499
357, 450004, 449007
358, 882703, 881706
359, 882704, 881707
360, 450007, 449010
361, 592579, 591582
362, 592580, 591583
363, 843825, 842828
364, 882709, 881712
365, 613520, 612523
366, 843828, 842831
367, 882712, 881715
368, 882713, 881716
369, 877729, 876732
370, 856793, 855796
371, 882716, 881719
372, 592590, 591593
373, 877733, 876736
374, 916617, 915620
375, 877735, 876738
376, 406155, 405158
377, 709244, 708247
378, 856801, 855804
379, 851817, 850820
380, 709247, 708250
381, 709248, 708251
382, 644444, 643447
383, 709250, 708253
384, 709251, 708254
385, 973457, 972460
386, 709253, 708256
387, 670371, 669374
388, 644450, 643453
389, 683334, 682337
390, 973462, 972465
391, 670375, 669378
392, 683337, 682340
393, 458016, 457019
394, 929598, 928601
395, 722223, 721226
396, 704278, 703281
397, 722225, 721228
398, 271582, 270585
399, 743164, 742167
400, 929604, 928607
401, 722229, 721232
402, 535791, 534794
403, 665402, 664405
404, 968491, 967494
405, 743170, 742173
406, 535795, 534798
407, 496913, 495916
408, 535797, 534800
409, 722237, 721240
410, 800004, 799007
411, 800005, 799008
412, 535801, 534804
413, 717256, 716259
414, 535803, 534806
415, 800009, 799012
416, 800010, 799013
417, 800011, 799014
418, 800012, 799015
419, 717262, 716265
420, 717263, 716266
421, 981469, 980472
422, 800016, 799019
423, 963525, 962528
424, 530828, 529831
425, 530829, 529832
426, 795035, 794038
427, 795036, 794039
428, 323456, 322459
429, 795038, 794041
430, 756156, 755159
431, 981479, 980482
432, 795041, 794044
433, 756159, 755162
434, 323462, 322465
435, 691356, 690359
436, 981484, 980487
437, 919671, 918674
438, 795047, 794050
439, 504921, 503924
440, 717283, 716286
441, 795050, 794053
442, 994451, 993454
443, 318486, 317489
444, 769131, 768134
445, 976508, 975511
446, 769133, 768136
447, 808017, 807020
448, 1020379, 1019382
449, 1033341, 1032344
450, 769137, 768140
451, 790075, 789078
452, 621583, 620586
453, 1015399, 1014402
454, 582702, 581705
455, 582703, 581706
456, 764158, 763161
457, 885793, 884796
458, 582706, 581709
459, 846912, 845915
460, 582708, 581711
461, 582709, 581712
462, 885798, 884801
463, 846916, 845919
464, 846917, 845920
465, 764167, 763170
466, 556792, 555795
467, 976530, 975533
468, 885804, 884807
469, 577732, 576735
470, 577733, 576736
471, 846924, 845927
472, 950613, 949616
473, 846926, 845929
474, 409244, 408247
475, 846928, 845931
476, 1028383, 1027386
477, 846930, 845933
478, 841946, 840949
479, 880830, 879833
480, 841948, 840951
481, 370368, 369371
482, 673457, 672460
483, 816029, 815032
484, 841952, 840955
485, 673460, 672463
486, 816032, 815035
487, 841955, 840958
488, 629595, 628598
489, 673464, 672467
490, 1106163, 1105166
491, 422222, 421225
492, 816038, 815041
493, 816039, 815042
494, 1067284, 1066287
495, 836978, 835981
496, 836979, 835982
497, 422228, 421231
498, 790122, 789125
499, 1080250, 1079253
500, 668490, 667493
501, 668491, 667494
