# n=8, modulus d=6, coefficients d=6
# Frobenius number = 4304576, Frobenius root = 4447, Apery max = 4404579
coefficients = [100003, 100007, 123456, 150000, 186432, 200005, 302348, 498123]


Residues, Apery set, Zeros
262, 2800346, 2700343
263, 3400365, 3300362
264, 3200360, 3100357
265, 3000355, 2900352
266, 2900353, 2800350
267, 3100360, 3000357
268, 3300367, 3200364
269, 3100362, 3000359
270, 3000360, 2900357
271, 3200367, 3100364
272, 3100365, 3000362
273, 2900360, 2800357
274, 2700355, 2600352
275, 3300374, 3200371
276, 3200372, 3100369
277, 3000367, 2900364
278, 2800362, 2700359
279, 3200375, 3100372
280, 3000370, 2900367
281, 2800365, 2700362
282, 2600360, 2500357
283, 2400355, 2300352
284, 3100377, 3000374
285, 2900372, 2800369
286, 2700367, 2600364
287, 2500362, 2400359
288, 3200384, 3100381
289, 3000379, 2900376
290, 2800374, 2700371
291, 2600369, 2500366
292, 3300391, 3200388
293, 3100386, 3000383
294, 2900381, 2800378
295, 2700376, 2600373
296, 3400398, 3300395
297, 3200393, 3100390
298, 3000388, 2900385
299, 2800383, 2700380
300, 3500405, 3400402
301, 3300400, 3200397
302, 3100395, 3000392
303, 2900390, 2800387
304, 3600412, 3500409
305, 3400407, 3300404
306, 3200402, 3100399
307, 3000397, 2900394
308, 3700419, 3600416
309, 3500414, 3400411
310, 3300409, 3200406
311, 3100404, 3000401
312, 3800426, 3700423
313, 3600421, 3500418
314, 3400416, 3300413
315, 3200411, 3100408
316, 3600424, 3500421
317, 3700428, 3600425
318, 3500423, 3400420
319, 3300418, 3200415
320, 3700431, 3600428
321, 3800435, 3700432
322, 3600430, 3500427
323, 3400425, 3300422
324, 3500429, 3400426
325, 3300424, 3200421
326, 3600434, 3500431
327, 3500432, 3400429
328, 3600436, 3500433
329, 3400431, 3300428
330, 3700441, 3600438
331, 3600439, 3500436
332, 3400434, 3300431
333, 3200429, 3100426
334, 3000424, 2900421
335, 3300434, 3200431
336, 3500441, 3400438
337, 3300436, 3200433
338, 3100431, 3000428
339, 3400441, 3300438
340, 3300439, 3200436
341, 3100434, 3000431
342, 2900429, 2800426
343, 2700424, 2600421
344, 3400446, 3300443
345, 3200441, 3100438
346, 3000436, 2900433
347, 2800431, 2700428
348, 3200444, 3100441
349, 3000439, 2900436
350, 2800434, 2700431
351, 2600429, 2500426
352, 2400424, 2300421
353, 3100446, 3000443
354, 2900441, 2800438
355, 2700436, 2600433
356, 2500431, 2400428
357, 2900444, 2800441
358, 2700439, 2600436
359, 2500434, 2400431
360, 2300429, 2200426
361, 2100424, 2000421
362, 2800446, 2700443
363, 2600441, 2500438
364, 2400436, 2300433
365, 2200431, 2100428
366, 2600444, 2500441
367, 2400439, 2300436
368, 2200434, 2100431
369, 2000429, 1900426
370, 1800424, 1700421
371, 2500446, 2400443
372, 2300441, 2200438
373, 2100436, 2000433
374, 1900431, 1800428
375, 2300444, 2200441
376, 2100439, 2000436
377, 1900434, 1800431
378, 1700429, 1600426
379, 1500424, 1400421
380, 2200446, 2100443
381, 2000441, 1900438
382, 1800436, 1700433
383, 1600431, 1500428
384, 2300453, 2200450
385, 2100448, 2000445
386, 1900443, 1800440
387, 1700438, 1600435
388, 2400460, 2300457
389, 2200455, 2100452
390, 2000450, 1900447
391, 1800445, 1700442
392, 2500467, 2400464
393, 2300462, 2200459
394, 2100457, 2000454
395, 1900452, 1800449
396, 2600474, 2500471
397, 2400469, 2300466
398, 2200464, 2100461
399, 2000459, 1900456
400, 2700481, 2600478
401, 2500476, 2400473
402, 2300471, 2200468
403, 2100466, 2000463
404, 2800488, 2700485
405, 2600483, 2500480
