# n=30, modulus d=4, coefficients d=5
# Frobenius number = 393324, Frobenius root = 4377, Apery max = 403297
coefficients = [9973, 13001, 16001, 19001, 22003, 25013, 28027, 31013, 34007, 37001, 
                    40009, 43003, 46021, 49003, 52009, 55001, 58013, 61001, 64007, 67001, 
                    70009, 73001, 76003, 79001, 82013, 85009, 88007, 91039, 94001, 97001]


Residues, Apery set, Zeros
300, 100030, 90057
301, 110004, 100031
302, 100032, 90059
303, 379277, 369304
304, 90061, 80088
305, 110008, 100035
306, 100036, 90063
307, 110010, 100037
308, 100038, 90065
309, 379283, 369310
310, 100040, 90067
311, 110014, 100041
312, 110015, 100042
313, 379287, 369314
314, 100044, 90071
315, 110018, 100045
316, 110019, 100046
317, 379291, 369318
318, 100048, 90075
319, 110022, 100049
320, 100050, 90077
321, 379295, 369322
322, 100052, 90079
323, 379297, 369324
324, 100054, 90081
325, 110028, 100055
326, 100056, 90083
327, 120003, 110030
328, 110031, 100058
329, 120005, 110032
330, 100060, 90087
331, 120007, 110034
332, 110035, 100062
333, 120009, 110036
334, 110037, 100064
335, 120011, 110038
336, 110039, 100066
337, 110040, 100067
338, 100068, 90095
339, 120015, 110042
340, 110043, 100070
341, 120017, 110044
342, 110045, 100072
343, 120019, 110046
344, 110047, 100074
345, 120021, 110048
346, 120022, 110049
347, 120023, 110050
348, 120024, 110051
349, 120025, 110052
350, 120026, 110053
351, 120027, 110054
352, 100082, 90109
353, 120029, 110056
354, 110057, 100084
355, 120031, 110058
356, 110059, 100086
357, 120033, 110060
358, 120034, 110061
359, 120035, 110062
360, 120036, 110063
361, 120037, 110064
362, 120038, 110065
363, 120039, 110066
364, 120040, 110067
365, 120041, 110068
366, 110069, 100096
367, 130016, 120043
368, 120044, 110071
369, 120045, 110072
370, 120046, 110073
371, 120047, 110074
372, 130021, 120048
373, 130022, 120049
374, 130023, 120050
375, 130024, 120051
376, 130025, 120052
377, 130026, 120053
378, 130027, 120054
379, 130028, 120055
380, 110083, 100110
381, 130030, 120057
382, 120058, 110085
383, 130032, 120059
384, 120060, 110087
385, 120061, 110088
386, 130035, 120062
387, 130036, 120063
388, 130037, 120064
389, 130038, 120065
390, 130039, 120066
391, 130040, 120067
392, 140014, 130041
393, 120069, 110096
394, 120070, 110097
395, 130044, 120071
396, 130045, 120072
397, 130046, 120073
398, 130047, 120074
399, 130048, 120075
400, 140022, 130049
401, 130050, 120077
402, 140024, 130051
403, 130052, 120079
404, 140026, 130053
405, 130054, 120081
406, 140028, 130055
407, 130056, 120083
408, 130057, 120084
409, 130058, 120085
410, 130059, 120086
411, 140033, 130060
412, 130061, 120088
413, 130062, 120089
414, 140036, 130063
415, 140037, 130064
416, 140038, 130065
417, 130066, 120093
418, 140040, 130067
419, 130068, 120095
420, 140042, 130069
421, 130070, 120097
422, 140044, 130071
423, 140045, 130072
424, 140046, 130073
425, 130074, 120101
426, 140048, 130075
427, 140049, 130076
428, 150023, 140050
429, 140051, 130078
430, 150025, 140052
431, 140053, 130080
432, 150027, 140054
433, 140055, 130082
434, 150029, 140056
435, 140057, 130084
436, 150031, 140058
437, 140059, 130086
438, 140060, 130087
439, 140061, 130088
440, 150035, 140062
441, 140063, 130090
442, 150037, 140064
443, 140065, 130092
444, 150039, 140066
445, 140067, 130094
446, 150041, 140068
447, 140069, 130096
448, 150043, 140070
449, 140071, 130098
450, 150045, 140072
451, 150046, 140073
452, 150047, 140074
453, 130102, 120129
454, 150049, 140076
455, 140077, 130104
456, 150051, 140078
457, 140079, 130106
458, 160026, 150053
459, 150054, 140081
460, 150055, 140082
461, 140083, 130110
462, 160030, 150057
463, 140085, 130112
464, 150059, 140086
465, 140087, 130114
466, 150061, 140088
467, 140089, 130116
468, 160036, 150063
469, 140091, 130118
470, 160038, 150065
471, 150066, 140093
472, 160040, 150067
473, 150068, 140095
474, 160042, 150069
475, 150070, 140097
476, 160044, 150071
477, 150072, 140099
478, 160046, 150073
479, 150074, 140101
480, 160048, 150075
481, 150076, 140103
482, 160050, 150077
483, 150078, 140105
484, 150079, 140106
485, 140107, 130134
486, 160054, 150081
487, 150082, 140109
488, 160056, 150083
489, 150084, 140111
490, 160058, 150085
491, 150086, 140113
492, 160060, 150087
493, 160061, 150088
494, 160062, 150089
495, 150090, 140117
496, 160064, 150091
497, 150092, 140119
498, 160066, 150093
499, 150094, 140121
500, 160068, 150095
501, 150096, 140123
502, 160070, 150097
503, 150098, 140125
504, 160072, 150099
505, 160073, 150100
506, 170047, 160074
507, 160075, 150102
508, 170049, 160076
509, 160077, 150104
510, 160078, 150105
511, 160079, 150106
512, 160080, 150107
513, 140135, 130162
514, 170055, 160082
515, 150110, 140137
516, 160084, 150111
517, 150112, 140139
518, 170059, 160086
519, 160087, 150114
520, 160088, 150115
521, 160089, 150116
522, 170063, 160090
523, 160091, 150118
524, 170065, 160092
525, 170066, 160093
526, 160094, 150121
527, 150122, 140149
528, 170069, 160096
529, 160097, 150124
530, 170071, 160098
531, 160099, 150126
532, 170073, 160100
533, 170074, 160101
534, 170075, 160102
535, 170076, 160103
536, 170077, 160104
537, 170078, 160105
538, 170079, 160106
539, 170080, 160107
540, 170081, 160108
541, 160109, 150136
542, 170083, 160110
543, 160111, 150138
544, 170085, 160112
545, 160113, 150140
546, 170087, 160114
547, 170088, 160115
548, 170089, 160116
549, 170090, 160117
550, 170091, 160118
551, 170092, 160119
552, 170093, 160120
553, 180067, 170094
554, 170095, 160122
555, 170096, 160123
556, 170097, 160124
557, 170098, 160125
558, 170099, 160126
559, 170100, 160127
560, 180074, 170101
561, 180075, 170102
562, 180076, 170103
563, 180077, 170104
564, 180078, 170105
565, 180079, 170106
566, 180080, 170107
567, 180081, 170108
568, 180082, 170109
569, 180083, 170110
570, 170111, 160138
571, 170112, 160139
572, 180086, 170113
573, 180087, 170114
574, 180088, 170115
575, 180089, 170116
576, 180090, 170117
577, 180091, 170118
578, 180092, 170119
579, 190066, 180093
580, 170121, 160148
581, 190068, 180095
582, 180096, 170123
583, 190070, 180097
584, 180098, 170125
585, 180099, 170126
586, 180100, 170127
587, 190074, 180101
588, 180102, 170129
589, 190076, 180103
590, 180104, 170131
591, 190078, 180105
592, 180106, 170133
593, 190080, 180107
594, 180108, 170135
595, 190082, 180109
596, 180110, 170137
597, 200057, 190084
598, 180112, 170139
599, 180113, 170140
600, 180114, 170141
601, 190088, 180115
602, 180116, 170143
603, 190090, 180117
604, 180118, 170145
605, 200065, 190092
606, 190093, 180120
607, 200067, 190094
608, 180122, 170149
609, 190096, 180123
610, 180124, 170151
611, 200071, 190098
612, 190099, 180126
613, 190100, 180127
614, 180128, 170155
615, 200075, 190102
616, 190103, 180130
617, 200077, 190104
618, 180132, 170159
619, 200079, 190106
620, 190107, 180134
621, 200081, 190108
622, 190109, 180136
623, 200083, 190110
624, 190111, 180138
625, 200085, 190112
626, 190113, 180140
627, 190114, 180141
628, 190115, 180142
629, 200089, 190116
630, 180144, 170171
631, 200091, 190118
632, 190119, 180146
