# Frobenius number = 7909005, Frobenius root = 416, Apery max = 7918978
coefficients = [9973, 89989, 89981, 89977, 89969, 89963, 89959, 89951, 89939, 89929, 89923, 
                89917, 89909, 89899, 89891, 89881]

261, 4049299, 4039326
262, 7918824, 7908851
263, 4049301, 4039328
264, 7918826, 7908853
265, 4049303, 4039330
266, 179780, 169807
267, 4049305, 4039332
268, 179782, 169809
269, 4049307, 4039334
270, 7918832, 7908859
271, 4049309, 4039336
272, 7918834, 7908861
273, 4049311, 4039338
274, 7918836, 7908863
275, 4049313, 4039340
276, 179790, 169817
277, 4049315, 4039342
278, 7918840, 7908867
279, 4049317, 4039344
280, 7918842, 7908869
281, 4049319, 4039346
282, 7918844, 7908871
283, 4049321, 4039348
284, 179798, 169825
285, 4049323, 4039350
286, 179800, 169827
287, 4049325, 4039352
288, 7918850, 7908877
289, 4049327, 4039354
290, 179804, 169831
291, 4049329, 4039356
292, 7918854, 7908881
293, 4049331, 4039358
294, 179808, 169835
295, 4049333, 4039360
296, 179810, 169837
297, 4049335, 4039362
298, 7918860, 7908887
299, 4049337, 4039364
300, 179814, 169841
301, 4049339, 4039366
302, 179816, 169843
303, 4049341, 4039368
304, 179818, 169845
305, 4049343, 4039370
306, 179820, 169847
307, 4049345, 4039372
308, 179822, 169849
309, 4049347, 4039374
310, 7918872, 7908899
311, 4049349, 4039376
312, 179826, 169853
313, 4049351, 4039378
314, 179828, 169855
315, 4049353, 4039380
316, 179830, 169857
317, 4049355, 4039382
318, 179832, 169859
319, 4049357, 4039384
320, 179834, 169861
321, 4049359, 4039386
322, 7918884, 7908911
323, 4049361, 4039388
324, 179838, 169865
325, 4049363, 4039390
326, 179840, 169867
327, 4049365, 4039392
328, 179842, 169869
329, 4049367, 4039394
330, 179844, 169871
331, 4049369, 4039396
332, 179846, 169873
333, 4049371, 4039398
334, 179848, 169875
335, 4049373, 4039400
336, 179850, 169877
337, 4049375, 4039402
338, 179852, 169879
339, 4049377, 4039404
340, 179854, 169881
341, 4049379, 4039406
342, 179856, 169883
343, 4049381, 4039408
344, 179858, 169885
345, 4049383, 4039410
346, 179860, 169887
347, 4049385, 4039412
348, 179862, 169889
349, 4049387, 4039414
350, 7918912, 7908939
351, 4049389, 4039416
352, 7918914, 7908941
353, 4049391, 4039418
354, 179868, 169895
355, 4049393, 4039420
356, 179870, 169897
357, 4049395, 4039422
358, 179872, 169899
359, 4049397, 4039424
360, 179874, 169901
361, 4049399, 4039426
362, 179876, 169903
363, 4049401, 4039428
364, 179878, 169905
365, 4049403, 4039430
366, 179880, 169907
367, 4049405, 4039432
368, 179882, 169909
369, 4049407, 4039434
370, 7918932, 7908959
371, 4049409, 4039436
372, 179886, 169913
373, 4049411, 4039438
374, 179888, 169915
375, 4049413, 4039440
376, 179890, 169917
377, 4049415, 4039442
378, 179892, 169919
379, 4049417, 4039444
380, 179894, 169921
381, 4049419, 4039446
382, 269653, 259680
383, 4049421, 4039448
384, 179898, 169925
385, 4049423, 4039450
386, 179900, 169927
387, 4049425, 4039452
388, 179902, 169929
389, 4049427, 4039454
390, 179904, 169931
391, 4049429, 4039456
392, 179906, 169933
393, 4049431, 4039458
394, 179908, 169935
395, 4049433, 4039460
396, 179910, 169937
397, 4049435, 4039462
398, 179912, 169939
399, 4049437, 4039464
400, 179914, 169941
401, 4049439, 4039466
402, 179916, 169943
403, 4049441, 4039468
404, 179918, 169945
405, 4049443, 4039470
406, 179920, 169947
407, 4049445, 4039472
408, 179922, 169949
409, 4049447, 4039474
410, 269681, 259708
411, 4049449, 4039476
412, 179926, 169953
413, 4049451, 4039478
414, 179928, 169955
415, 4049453, 4039480
416, 7918978, 7909005
417, 4049455, 4039482
418, 179932, 169959
419, 4049457, 4039484
420, 269691, 259718
421, 4049459, 4039486
422, 179936, 169963
423, 4049461, 4039488
424, 179938, 169965
425, 4049463, 4039490
426, 179940, 169967
427, 4049465, 4039492
428, 269699, 259726
429, 4049467, 4039494
430, 179944, 169971
431, 4049469, 4039496
432, 179946, 169973
433, 4049471, 4039498
434, 179948, 169975
435, 4049473, 4039500
436, 179950, 169977
437, 4049475, 4039502
438, 179952, 169979
439, 4049477, 4039504
440, 179954, 169981
441, 4049479, 4039506
442, 269713, 259740
443, 4049481, 4039508
444, 179958, 169985
445, 4139240, 4129267
446, 269717, 259744
447, 4049485, 4039512
448, 179962, 169989
449, 4139244, 4129271
450, 269721, 259748
451, 4049489, 4039516
452, 179966, 169993
453, 4139248, 4129275
454, 269725, 259752
455, 4049493, 4039520
456, 179970, 169997
457, 4139252, 4129279
458, 269729, 259756
459, 4049497, 4039524
460, 269731, 259758
461, 4139256, 4129283
462, 269733, 259760
463, 4139258, 4129285
464, 179978, 170005
465, 4139260, 4129287
466, 269737, 259764
467, 4049505, 4039532
468, 269739, 259766
469, 4139264, 4129291
470, 269741, 259768
471, 4139266, 4129293
472, 269743, 259770
473, 4139268, 4129295
474, 269745, 259772
475, 4139270, 4129297
476, 269747, 259774
